Game,Rematch,City,Gym Leader,Pokemon Name,Pokemon Type,Pokemon Level,Pokemon Counters,Pokemon Countered By,Gym Badge,Gym Entry Requirement
Let's go Pikachu/Eevee,No,Indigo Plateau,Bruno,Poliwrath,"Water, Fighting",52,"Rock, Bug, Steel, Fire, Water, Ice, Dark","Flying, Grass, Electric, Psychic, Fairy",Elite 4,Beat Previous Elite 4 Member
Let's go Pikachu/Eevee,No,Indigo Plateau,Bruno,Machamp,Fighting,53,"Rock, Bug, Dark","Flying, Psychic, Fairy",Elite 4,Beat Previous Elite 4 Member
Let's go Pikachu/Eevee,No,Indigo Plateau,Agatha,Arbok,Poison ,53,"Fighting, Poison, Bug, Grass, Fairy","Ground, Psychic",Elite 4,Beat Previous Elite 4 Member
Let's go Pikachu/Eevee,No,Indigo Plateau,Agatha,Gengar,"Ghost, Poison",53,"Grass, Fairy, Normal, Poison, Bug, Fighting","Ground, Ghost, Psychic, Dark",Elite 4,Beat Previous Elite 4 Member
Let's go Pikachu/Eevee,No,Indigo Plateau,Agatha,Golbat,"Poison, Flying",53,"Ground, Poison, Fairy, Fighting, Bug, Grass","Rock, Electric, Psychic, Ice",Elite 4,Beat Previous Elite 4 Member
Let's go Pikachu/Eevee,No,Indigo Plateau,Agatha,Weezing,Poison ,53,"Fighting, Poison, Bug, Grass, Fairy","Ground, Psychic",Elite 4,Beat Previous Elite 4 Member
Let's go Pikachu/Eevee,No,Indigo Plateau,Agatha,Gengar,"Ghost, Poison",54,"Grass, Fairy, Normal, Poison, Bug, Fighting","Ground, Ghost, Psychic, Dark",Elite 4,Beat Previous Elite 4 Member
Let's go Pikachu/Eevee,No,Indigo Plateau,Lance,Seadra,Water,54,"Steel, Fire, Water, Ice","Grass, Electric",Elite 4,Beat Previous Elite 4 Member
Let's go Pikachu/Eevee,No,Indigo Plateau,Lance,Aerodactyl,"Rock, Flying",54,"Ground, Normal, Flying, Poison, Bug, Fire","Rock, Steel, Water, Electric, Ice",Elite 4,Beat Previous Elite 4 Member
Let's go Pikachu/Eevee,No,Indigo Plateau,Lance,Gyarados,"Water, Flying",54,"Fighting, Bug, Steel, Fire, Water, Ground","Electric, Rock",Elite 4,Beat Previous Elite 4 Member
Let's go Pikachu/Eevee,No,Indigo Plateau,Lance,Charizard,"Fire, Flying",54,"Ground, Fighting, Steel, Fire, Fairy, Bug, Grass","Rock, Water, Electric",Elite 4,Beat Previous Elite 4 Member
Let's go Pikachu/Eevee,No,Indigo Plateau,Lance,Dragonite,"Dragon, Flying",55,"Fighting, Bug, Fire, Water, Ground, Grass","Ice, Rock, Dragon, Fairy",Elite 4,Beat Previous Elite 4 Member
Let's go Pikachu/Eevee,No,Indigo Plateau,Rival,Pidgeot,"Normal, Flying",56,"Bug, Grass, Ground, Ghost","Rock, Electric, Ice",Elite 4,Beat Previous Elite 4 Member
Let's go Pikachu/Eevee,No,Indigo Plateau,Rival,Vileplume,"Grass, Poison",56,"Fighting, Water, Electric, Fairy, Grass","Flying, Fire, Psychic, Ice",Elite 4,Beat Previous Elite 4 Member
Let's go Pikachu/Eevee,No,Indigo Plateau,Rival,Marowak,Ground,56,"Poison, Rock, Electric","Water, Grass, Ice",Elite 4,Beat Previous Elite 4 Member
Let's go Pikachu/Eevee,No,Indigo Plateau,Rival,Rapidash,Fire,56,"Bug, Steel, Fire, Grass, Ice, Fairy","Ground, Rock, Water",Elite 4,Beat Previous Elite 4 Member
Let's go Pikachu/Eevee,No,Indigo Plateau,Rival,Slowbro,"Water, Psychic",56,"Fighting, Steel, Fire, Water, Psychic, Ice","Bug, Ghost, Grass, Electric, Dark",Elite 4,Beat Previous Elite 4 Member
Let's go Pikachu/Eevee,No,Indigo Plateau,Rival,Jolteon or Raichu,Electric,57,"Flying, Steel, Electric",Ground,Elite 4,Beat Previous Elite 4 Member
Brilliant Diamond/Shining Pearl,No,Oreburgh City,Roark,Geodude,"Rock, Ground",12,"Normal, Flying, Rock, Fire, Poison, Electric","Water, Grass, Fighting, Ground, Steel, Ice",Coal,Get Roark from Oreburgh Mine
Brilliant Diamond/Shining Pearl,No,Oreburgh City,Roark,Onix,"Rock, Ground",12,"Normal, Flying, Rock, Fire, Poison, Electric","Water, Grass, Fighting, Ground, Steel, Ice",Coal,Get Roark from Oreburgh Mine
Brilliant Diamond/Shining Pearl,No,Oreburgh City,Roark,Cranidos,Rock,14,"Normal, Flying, Poison, Fire","Fighting, Ground, Steel, Water, Grass",Coal,Get Roark from Oreburgh Mine
Brilliant Diamond/Shining Pearl,No,Eterna,Gardenia,Cherubi,Grass,19,"Ground, Water, Grass, Electric","Flying, Poison, Bug, Fire, Ice",Forest,Find and defeat trainers in maze
Brilliant Diamond/Shining Pearl,No,Eterna,Gardenia,Turtwig,Grass,19,"Ground, Water, Grass, Electric","Flying, Poison, Bug, Fire, Ice",Forest,Find and defeat trainers in maze
Brilliant Diamond/Shining Pearl,No,Eterna,Gardenia,Roserade,"Grass, Poison",22,"Fighting, Water, Electric, Fairy, Grass","Flying, Fire, Psychic, Ice",Forest,Find and defeat trainers in maze
Brilliant Diamond/Shining Pearl,No,Veilstone,Maylene,Meditite,"Fighting, Psychic",27,"Fighting, Rock","Flying, Ghost, Fairy",Cobble,Move various boards and battle trainers
Brilliant Diamond/Shining Pearl,No,Veilstone,Maylene,Machoke,Fighting,27,"Rock, Bug, Dark","Flying, Psychic, Fairy",Cobble,Move various boards and battle trainers
Brilliant Diamond/Shining Pearl,No,Veilstone,Maylene,Lucario,"Fighting, Steel",30,"Normal, Steel, Grass, Ice, Dragon, Dark, Poison, Rock, Bug","Fighting, Ground, Fire",Cobble,Move various boards and battle trainers
Brilliant Diamond/Shining Pearl,No,Pastoria,Crasher Wake,Gyarados,"Water, Flying",27,"Fighting, Bug, Steel, Fire, Water, Ground","Electric, Rock",Fen,Finish water level puzzle and defeat trainers
Brilliant Diamond/Shining Pearl,No,Pastoria,Crasher Wake,Quagsire,"Water, Ground",27,"Electric, Poison, Rock, Steel, Fire",Grass,Fen,Finish water level puzzle and defeat trainers
Brilliant Diamond/Shining Pearl,No,Pastoria,Crasher Wake,Floatzel,Water,30,"Steel, Fire, Water, Ice","Grass, Electric",Fen,Finish water level puzzle and defeat trainers
Brilliant Diamond/Shining Pearl,No,Hearthome,Fantina,Drifblim,"Ghost, Flying",32,"Poison, Grass, Normal, Ground, Bug, Fighting","Rock, Ghost, Electric, Ice, Dark",Relic,"Finish Veilstone and Pastoria gym, and speak with Fantina outside the Super Contest Hall. Answer questions from signs in gym."
Brilliant Diamond/Shining Pearl,No,Hearthome,Fantina,Gengar,"Ghost, Poison",34,"Grass, Fairy, Normal, Poison, Bug, Fighting","Ground, Ghost, Psychic, Dark",Relic,"Finish Veilstone and Pastoria gym, and speak with Fantina outside the Super Contest Hall. Answer questions from signs in gym."
Brilliant Diamond/Shining Pearl,No,Hearthome,Fantina,Mismagius,Ghost,36,"Poison, Bug, Fairy, Fighting","Ghost, Dark",Relic,"Finish Veilstone and Pastoria gym, and speak with Fantina outside the Super Contest Hall. Answer questions from signs in gym."
Brilliant Diamond/Shining Pearl,No,Canalave,Byron,Bronzor,"Steel, Psychic",36,"Normal, Flying, Rock, Steel, Grass, Ice, Dragon, Fairy, Poison, Psychic","Ground, Ghost, Fire, Dark",Mine,Solve elevator platform puzzle and defeat trainers
Brilliant Diamond/Shining Pearl,No,Canalave,Byron,Steelix,"Steel, Ground",36,"Normal, Flying, Bug, Steel, Psychic, Dragon, Fairy, Rock, Electric, Poison","Fighting, Ground, Fire, Water",Mine,Solve elevator platform puzzle and defeat trainers
Brilliant Diamond/Shining Pearl,No,Canalave,Byron,Bastiodon,"Rock, Steel",39,"Rock, Bug, Psychic, Ice, Dragon, Fairy, Normal, Flying, Poison","Fighting, Ground, Water",Mine,Solve elevator platform puzzle and defeat trainers
Brilliant Diamond/Shining Pearl,No,Snowpoint,Candice,Snover,"Grass, Ice",38,"Ground, Water, Grass, Electric","Fire, Fighting, Flying, Poison, Rock, Bug, Steel",Icicle,Sliding platform to destroy snowball puzzle and defeat trainers
Brilliant Diamond/Shining Pearl,No,Snowpoint,Candice,Sneasel,"Dark, Ice",38,"Ghost, Ice, Dark, Pyschic","Fighting, Rock, Bug, Steel, Fire, Fairy",Icicle,Sliding platform to destroy snowball puzzle and defeat trainers
Brilliant Diamond/Shining Pearl,No,Snowpoint,Candice,Medicham,"Fighting, Psychic",40,"Fighting, Rock","Flying, Ghost, Fairy",Icicle,Sliding platform to destroy snowball puzzle and defeat trainers
Brilliant Diamond/Shining Pearl,No,Snowpoint,Candice,Abomasnow,"Grass, Ice",42,"Ground, Water, Grass, Electric","Fire, Flying, Poison, Rock, Bug, Steel",Icicle,Sliding platform to destroy snowball puzzle and defeat trainers
Brilliant Diamond/Shining Pearl,No,Sunyshore,Volkner,Raichu,Electric,46,"Flying, Steel, Electric",Ground,Beacon,Rotate gear platform puzzle and defeat trainers
Brilliant Diamond/Shining Pearl,No,Sunyshore,Volkner,Ambipom,Normal,47,Ghost,Fighting,Beacon,Rotate gear platform puzzle and defeat trainers
Brilliant Diamond/Shining Pearl,No,Sunyshore,Volkner,Octillery,Water,47,"Steel, Fire, Water, Ice","Grass, Electric",Beacon,Rotate gear platform puzzle and defeat trainers
Brilliant Diamond/Shining Pearl,No,Sunyshore,Volkner,Luxray,Electric,49,"Flying, Steel, Electric",Ground,Beacon,Rotate gear platform puzzle and defeat trainers
Brilliant Diamond/Shining Pearl,No,Pokemon League Elite Four,Aaron,Dustox,"Bug, Poison ",53,"Poison, Bug, Fairy, Fighting, Grass","Flying, Rock,  Fire, Psychic",Elite 4,Have all 8 cities badges to enter Pokemon League
Brilliant Diamond/Shining Pearl,No,Pokemon League Elite Four,Aaron,Beautifly,"Bug, Flying",53,"Bug, Fighting, Grass, Ground","Rock, Flying, Fire, Electric, Ice",Elite 4,Have all 8 cities badges to enter Pokemon League
Brilliant Diamond/Shining Pearl,No,Pokemon League Elite Four,Aaron,Vespiquen,"Bug, Flying",54,"Bug, Fighting, Grass, Ground","Rock, Flying, Fire, Electric, Ice",Elite 4,Have all 8 cities badges to enter Pokemon League
Brilliant Diamond/Shining Pearl,No,Pokemon League Elite Four,Aaron,Heracross,"Bug, Fighting",54,"Fighting, Ground, Bug, Grass, Dark","Flying, Fire, Psychic, Fairy",Elite 4,Have all 8 cities badges to enter Pokemon League
Brilliant Diamond/Shining Pearl,No,Pokemon League Elite Four,Aaron,Drapion,"Poison, Dark",57,"Psychic, Poison, Ghost, Grass, Dark",Ground,Elite 4,Have all 8 cities badges to enter Pokemon League
Brilliant Diamond/Shining Pearl,No,Pokemon League Elite Four,Bertha,Quagsire,"Water, Ground",55,"Electric, Poison, Rock, Steel, Fire",Grass,Elite 4,Beat Previous Elite 4 Member
Brilliant Diamond/Shining Pearl,No,Pokemon League Elite Four,Bertha,Sudowoodo,Rock,56,"Normal, Flying, Poison, Fire","Fighting, Ground, Steel, Water, Grass",Elite 4,Beat Previous Elite 4 Member
Brilliant Diamond/Shining Pearl,No,Pokemon League Elite Four,Bertha,Golem,"Rock, Ground",56,"Normal, Flying, Rock, Fire, Poison, Electric","Water, Grass, Fighting, Ground, Steel, Ice",Elite 4,Beat Previous Elite 4 Member
Brilliant Diamond/Shining Pearl,No,Pokemon League Elite Four,Bertha,Whiscash,"Water, Ground",55,"Electric, Poison, Rock, Steel, Fire",Grass,Elite 4,Beat Previous Elite 4 Member
Brilliant Diamond/Shining Pearl,No,Pokemon League Elite Four,Bertha,Hippowdon,Ground,59,"Poison, Rock, Electric","Water, Grass, Ice",Elite 4,Beat Previous Elite 4 Member
Brilliant Diamond/Shining Pearl,No,Pokemon League Elite Four,Flint,Rapidash,Fire,58,"Bug, Steel, Fire, Grass, Ice, Fairy","Ground, Rock, Water",Elite 4,Beat Previous Elite 4 Member
Brilliant Diamond/Shining Pearl,No,Pokemon League Elite Four,Flint,Steelix,"Steel, Ground",57,"Normal, Flying, Bug, Steel, Psychic, Dragon, Fairy, Rock, Electric, Poison",,Elite 4,Beat Previous Elite 4 Member
Brilliant Diamond/Shining Pearl,No,Pokemon League Elite Four,Flint,Drifblim,"Ghost, Flying",58,"Poison, Grass, Normal, Ground, Bug, Fighting","Rock, Ghost, Electric, Ice, Dark",Elite 4,Beat Previous Elite 4 Member
Brilliant Diamond/Shining Pearl,No,Pokemon League Elite Four,Flint,Lopunny,Normal,57,Ghost,Fighting,Elite 4,Beat Previous Elite 4 Member
Brilliant Diamond/Shining Pearl,No,Pokemon League Elite Four,Flint,Infernape,"Fire, Fighting",61,"Steel, Fire, Grass, Ice, Dark, Bug","Flying, Ground, Water, Psychic",Elite 4,Beat Previous Elite 4 Member
Brilliant Diamond/Shining Pearl,No,Pokemon League Elite Four,Lucian,Mr. Mime,"Psychic, Fairy",59,"Psychic, Fighting, Dragon","Poison, Ghost, Steel",Elite 4,Beat Previous Elite 4 Member
Brilliant Diamond/Shining Pearl,No,Pokemon League Elite Four,Lucian,Girafarig,"Normal, Psychic",59,"Ghost, Psychic","Bug, Dark",Elite 4,Beat Previous Elite 4 Member
Brilliant Diamond/Shining Pearl,No,Pokemon League Elite Four,Lucian,Medicham,"Fighting, Psychic",60,"Fighting, Rock","Flying, Ghost, Fairy",Elite 4,Beat Previous Elite 4 Member
Brilliant Diamond/Shining Pearl,No,Pokemon League Elite Four,Lucian,Alakazam,Psychic,60,"Fighting, Psychic","Bug, Ghost, Dark ",Elite 4,Beat Previous Elite 4 Member
Brilliant Diamond/Shining Pearl,No,Pokemon League Elite Four,Lucian,Bronzong,"Steel, Psychic",63,"Normal, Flying, Rock, Steel, Grass, Ice, Dragon, Fairy, Poison, Psychic","Ground, Ghost, Fire, Dark",Elite 4,Beat Previous Elite 4 Member
Brilliant Diamond/Shining Pearl,No,Pokemon League Elite Four,Champion - Cynthia,Spiritomb,"Ghost, Dark",61,"Fighting, Poison, Normal, Psychic",Fairy,Elite 4,Beat Previous Elite 4 Member
Brilliant Diamond/Shining Pearl,No,Pokemon League Elite Four,Champion - Cynthia,Roserade,"Grass, Poison",60,"Fighting, Water, Electric, Fairy, Grass","Flying, Fire, Psychic, Ice",Elite 4,Beat Previous Elite 4 Member
Brilliant Diamond/Shining Pearl,No,Pokemon League Elite Four,Champion - Cynthia,Gastrodon,"Water, Ground",60,"Electric, Poison, Rock, Steel, Fire",Grass,Elite 4,Beat Previous Elite 4 Member
Brilliant Diamond/Shining Pearl,No,Pokemon League Elite Four,Champion - Cynthia,Lucario,"Fighting, Steel",63,"Normal, Steel, Grass, Ice, Dragon, Dark, Poison, Rock, Bug","Fighting, Ground, Fire",Elite 4,Beat Previous Elite 4 Member
Brilliant Diamond/Shining Pearl,No,Pokemon League Elite Four,Champion - Cynthia,Milotic,Water,63,"Steel, Fire, Water, Ice","Grass, Electric",Elite 4,Beat Previous Elite 4 Member
Brilliant Diamond/Shining Pearl,No,Pokemon League Elite Four,Champion - Cynthia,Garchomp,"Dragon, Ground",66,"Poison, Rock, Fire, Electric","Ice, Dragon , Fairy",Elite 4,Beat Previous Elite 4 Member
Let's go Pikachu/Eevee,Yes,Pewter,Brock,Onix,"Rock, Ground",56,"Normal, Flying, Rock, Fire, Poison, Electric","Water, Grass, Fighting, Ground, Steel, Ice",None,Beaten Elite 4
Let's go Pikachu/Eevee,Yes,Pewter,Brock,Kabutops,"Rock, Water",56,"Normal, Flying, Poison, Ice, Fire","Grass, Fighting, Ground, Electric",None,Beaten Elite 4
Let's go Pikachu/Eevee,Yes,Pewter,Brock,Omastar,"Rock, Water",56,"Normal, Flying, Poison, Ice, Fire","Grass, Fighting, Ground, Electric",None,Beaten Elite 4
Let's go Pikachu/Eevee,Yes,Pewter,Brock,Aerodactyl,"Rock, Flying",56,"Ground, Normal, Flying, Poison, Bug, Fire","Rock, Steel, Water, Electric, Ice",None,Beaten Elite 4
Let's go Pikachu/Eevee,Yes,Pewter,Brock,Golem,"Rock, Ground",57,"Normal, Flying, Rock, Fire, Poison, Electric","Water, Grass, Fighting, Ground, Steel, Ice",None,Beaten Elite 4
Let's go Pikachu/Eevee,Yes,Cerulean,Misty,Golduck,Water,56,"Steel, Fire, Water, Ice","Grass, Electric",None,Beaten Elite 4
Let's go Pikachu/Eevee,Yes,Cerulean,Misty,Dewgong,"Water, Ice",56,"Water, Ice","Fighting, Rock, Grass, Electric",None,Beaten Elite 4
Let's go Pikachu/Eevee,Yes,Cerulean,Misty,Starmie,"Water, Psychic",56,"Steel, Fire, Water, Ice, Fighting, Psychic","Electric, Grass, Bug, Ghost, Dark",None,Beaten Elite 4
Let's go Pikachu/Eevee,Yes,Cerulean,Misty,Vaporeon,Water,56,"Steel, Fire, Water, Ice","Grass, Electric",None,Beaten Elite 4
Let's go Pikachu/Eevee,Yes,Cerulean,Misty,Gyarados,"Water, Flying",57,"Fighting, Bug, Steel, Fire, Water, Ground","Electric, Rock",None,Beaten Elite 4
Let's go Pikachu/Eevee,Yes,Vermilion,Lt. Surge,Electrode,Electric,56,"Flying, Steel, Electric",Ground,None,Beaten Elite 4
Let's go Pikachu/Eevee,Yes,Vermilion,Lt. Surge,Jolteon,Electric,56,"Flying, Steel, Electric",Ground,None,Beaten Elite 4
Let's go Pikachu/Eevee,Yes,Vermilion,Lt. Surge,Electabuzz,Electric,56,"Flying, Steel, Electric",Ground,None,Beaten Elite 4
Let's go Pikachu/Eevee,Yes,Vermilion,Lt. Surge,Magneton,"Electric, Steel",56,"Normal, Rock, Bug, Grass, Electric, Psychic, Ice, Dragon, Fairy, Flying, Poison, Steel","Ground, Fighting, Ice",None,Beaten Elite 4
Let's go Pikachu/Eevee,Yes,Vermilion,Lt. Surge,Raichu,Electric,57,"Flying, Steel, Electric",Ground,None,Beaten Elite 4
Let's go Pikachu/Eevee,Yes,Celadon,Erika,Tangela,Grass,56,"Ground, Water, Grass, Electric","Flying, Poison, Bug, Fire, Ice",None,Beaten Elite 4
Let's go Pikachu/Eevee,Yes,Celadon,Erika,Parasect,"Bug, Grass",56,"Flying, Water, Electric, Ground, Grass","Flying, Fire, Poison, Rock, Bug, Ice",None,Beaten Elite 4
Let's go Pikachu/Eevee,Yes,Celadon,Erika,Victreebel,"Grass, Poison",56,"Fighting, Water, Electric, Fairy, Grass","Flying, Fire, Psychic, Ice",None,Beaten Elite 4
Let's go Pikachu/Eevee,Yes,Celadon,Erika,Exeggutor,"Grass, Psychic",56,"Fighting, Ground, Water, Grass, Electric, Pyschic","Bug, Flying, Poison, Ghost, Fire, Ice, Dark",None,Beaten Elite 4
Let's go Pikachu/Eevee,Yes,Celadon,Erika,Vileplume,"Grass, Poison",57,"Fighting, Water, Electric, Fairy, Grass","Flying, Fire, Psychic, Ice",None,Beaten Elite 4
Let's go Pikachu/Eevee,Yes,Fuchsia,Koga,Tentacruel,"Water, Poison",56,"Fighting, Poison, Bug, Steel, Fire, Water, Ice, Fairy","Ground, Electric, Pyschic",None,Beaten Elite 4
Let's go Pikachu/Eevee,Yes,Fuchsia,Koga,Golbat,"Poison, Flying",56,"Ground, Poison,  Fairy, Fighting, Bug, Grass","Rock, Electric, Psychic, Ice",None,Beaten Elite 4
Let's go Pikachu/Eevee,Yes,Fuchsia,Koga,Weezing,Poison ,56,"Fighting, Poison, Bug, Grass, Fairy","Ground, Psychic",None,Beaten Elite 4
Let's go Pikachu/Eevee,Yes,Fuchsia,Koga,Venomoth,"Bug, Poison ",56,"Poison, Bug, Fairy, Fighting, Grass","Flying, Rock,  Fire, Psychic",None,Beaten Elite 4
Let's go Pikachu/Eevee,Yes,Fuchsia,Koga,Muk,Poison ,57,"Fighting, Poison, Bug, Grass, Fairy","Ground, Psychic",None,Beaten Elite 4
Let's go Pikachu/Eevee,Yes,Saffron,Sabrina,Mr. Mime,"Psychic, Fairy",56,"Psychic, Fighting, Dragon","Poison, Ghost, Steel",None,Beaten Elite 4
Let's go Pikachu/Eevee,Yes,Saffron,Sabrina,Jynx,"Ice, Psychic",56,"Psychic, Ice","Rock, Bug, Ghost, Steel, Fire, Dark",None,Beaten Elite 4
Let's go Pikachu/Eevee,Yes,Saffron,Sabrina,Hypno,Psychic,56,"Fighting, Psychic","Bug, Ghost, Dark ",None,Beaten Elite 4
Let's go Pikachu/Eevee,Yes,Saffron,Sabrina,Slowbro,"Water, Psychic",56,"Fighting, Steel, Fire, Water, Psychic, Ice","Bug, Ghost, Grass, Electric, Dark",None,Beaten Elite 4
Let's go Pikachu/Eevee,Yes,Saffron,Sabrina,Alakazam,Psychic,57,"Fighting, Psychic","Bug, Ghost, Dark ",None,Beaten Elite 4
